"X","time_period","rainfall","mean_temperature","disease_cases","population","location","Cases","E","month","ID_year","ID_spat","rainsum","meantemperature","group"
0,"2001-01",251.111,24.32,NA,629267.026130676,"Acre",NA,629267.026130676,1,2001,"Acre",251.111,24.32,1
1,"2001-02",230.194,24.6,NA,629267.026130676,"Acre",NA,629267.026130676,2,2001,"Acre",230.194,24.6,1
2,"2001-03",247.572,24.59,115,629267.026130676,"Acre",115,629267.026130676,3,2001,"Acre",247.572,24.59,1
3,"2001-04",194.169,24.62,78,629267.026130676,"Acre",78,629267.026130676,4,2001,"Acre",194.169,24.62,1
4,"2001-05",97.685,24.15,36,629267.026130676,"Acre",36,629267.026130676,5,2001,"Acre",97.685,24.15,1
5,"2001-06",60.546,22.42,32,629267.026130676,"Acre",32,629267.026130676,6,2001,"Acre",60.546,22.42,1
6,"2001-07",86.882,23.53,7,629267.026130676,"Acre",7,629267.026130676,7,2001,"Acre",86.882,23.53,1
7,"2001-08",37.802,25.65,8,629267.026130676,"Acre",8,629267.026130676,8,2001,"Acre",37.802,25.65,1
8,"2001-09",125.288,25.15,8,629267.026130676,"Acre",8,629267.026130676,9,2001,"Acre",125.288,25.15,1
9,"2001-10",177.126,25.83,22,629267.026130676,"Acre",22,629267.026130676,10,2001,"Acre",177.126,25.83,1
10,"2001-11",206.037,25.36,172,629267.026130676,"Acre",172,629267.026130676,11,2001,"Acre",206.037,25.36,1
11,"2001-12",308.816,24.93,196,629267.026130676,"Acre",196,629267.026130676,12,2001,"Acre",308.816,24.93,1
12,"2002-01",226.946,25.39,81,636229.145576477,"Acre",81,636229.145576477,1,2002,"Acre",226.946,25.39,1
13,"2002-02",262.303,25.02,170,636229.145576477,"Acre",170,636229.145576477,2,2002,"Acre",262.303,25.02,1
14,"2002-03",238.798,25.14,316,636229.145576477,"Acre",316,636229.145576477,3,2002,"Acre",238.798,25.14,1
15,"2002-04",216.697,24.65,72,636229.145576477,"Acre",72,636229.145576477,4,2002,"Acre",216.697,24.65,1
16,"2002-05",125.554,24.6,36,636229.145576477,"Acre",36,636229.145576477,5,2002,"Acre",125.554,24.6,1
17,"2002-06",62.513,23.54,24,636229.145576477,"Acre",24,636229.145576477,6,2002,"Acre",62.513,23.54,1
18,"2002-07",87.491,23.73,19,636229.145576477,"Acre",19,636229.145576477,7,2002,"Acre",87.491,23.73,1
19,"2002-08",82.58,25.43,12,636229.145576477,"Acre",12,636229.145576477,8,2002,"Acre",82.58,25.43,1
20,"2002-09",108.764,25.54,14,636229.145576477,"Acre",14,636229.145576477,9,2002,"Acre",108.764,25.54,1
21,"2002-10",153.82,25.98,18,636229.145576477,"Acre",18,636229.145576477,10,2002,"Acre",153.82,25.98,1
22,"2002-11",191.571,25.24,91,636229.145576477,"Acre",91,636229.145576477,11,2002,"Acre",191.571,25.24,1
23,"2002-12",271.847,25.14,98,636229.145576477,"Acre",98,636229.145576477,12,2002,"Acre",271.847,25.14,1
24,"2003-01",273.5,25.38,240,643180.355430603,"Acre",240,643180.355430603,1,2003,"Acre",273.5,25.38,1
25,"2003-02",250.476,25.02,288,643180.355430603,"Acre",288,643180.355430603,2,2003,"Acre",250.476,25.02,1
26,"2003-03",231.799,24.88,171,643180.355430603,"Acre",171,643180.355430603,3,2003,"Acre",231.799,24.88,1
27,"2003-04",197.785,24.58,98,643180.355430603,"Acre",98,643180.355430603,4,2003,"Acre",197.785,24.58,1
28,"2003-05",123.78,24.28,47,643180.355430603,"Acre",47,643180.355430603,5,2003,"Acre",123.78,24.28,1
29,"2003-06",73.252,24,39,643180.355430603,"Acre",39,643180.355430603,6,2003,"Acre",73.252,24,1
30,"2003-07",22.247,24.4,17,643180.355430603,"Acre",17,643180.355430603,7,2003,"Acre",22.247,24.4,1
31,"2003-08",72.341,24.54,7,643180.355430603,"Acre",7,643180.355430603,8,2003,"Acre",72.341,24.54,1
32,"2003-09",144.756,24.91,8,643180.355430603,"Acre",8,643180.355430603,9,2003,"Acre",144.756,24.91,1
33,"2003-10",148.788,25.72,27,643180.355430603,"Acre",27,643180.355430603,10,2003,"Acre",148.788,25.72,1
34,"2003-11",192.608,25.21,53,643180.355430603,"Acre",53,643180.355430603,11,2003,"Acre",192.608,25.21,1
35,"2003-12",247.661,25.34,57,643180.355430603,"Acre",57,643180.355430603,12,2003,"Acre",247.661,25.34,1
36,"2004-01",222.19,25.41,89,650120.713470459,"Acre",89,650120.713470459,1,2004,"Acre",222.19,25.41,1
37,"2004-02",177.339,25.15,143,650120.713470459,"Acre",143,650120.713470459,2,2004,"Acre",177.339,25.15,1
38,"2004-03",267.115,25.05,61,650120.713470459,"Acre",61,650120.713470459,3,2004,"Acre",267.115,25.05,1
39,"2004-04",128.891,24.98,36,650120.713470459,"Acre",36,650120.713470459,4,2004,"Acre",128.891,24.98,1
40,"2004-05",72.403,23.12,67,650120.713470459,"Acre",67,650120.713470459,5,2004,"Acre",72.403,23.12,1
41,"2004-06",74.142,23.26,53,650120.713470459,"Acre",53,650120.713470459,6,2004,"Acre",74.142,23.26,1
42,"2004-07",78.683,23.35,46,650120.713470459,"Acre",46,650120.713470459,7,2004,"Acre",78.683,23.35,1
43,"2004-08",97.868,24.27,42,650120.713470459,"Acre",42,650120.713470459,8,2004,"Acre",97.868,24.27,1
44,"2004-09",107.052,25.25,95,650120.713470459,"Acre",95,650120.713470459,9,2004,"Acre",107.052,25.25,1
45,"2004-10",222.012,25.28,400,650120.713470459,"Acre",400,650120.713470459,10,2004,"Acre",222.012,25.28,1
46,"2004-11",217.384,24.99,2007,650120.713470459,"Acre",2007,650120.713470459,11,2004,"Acre",217.384,24.99,1
47,"2004-12",267.937,25.01,1505,650120.713470459,"Acre",1505,650120.713470459,12,2004,"Acre",267.937,25.01,1
48,"2005-01",210.048,25.69,1469,657050.253517151,"Acre",1469,657050.253517151,1,2005,"Acre",210.048,25.69,1
49,"2005-02",260.84,25.1,486,657050.253517151,"Acre",486,657050.253517151,2,2005,"Acre",260.84,25.1,1
50,"2005-03",243.529,25.23,183,657050.253517151,"Acre",183,657050.253517151,3,2005,"Acre",243.529,25.23,1
51,"2005-04",191.318,24.64,49,657050.253517151,"Acre",49,657050.253517151,4,2005,"Acre",191.318,24.64,1
52,"2005-05",107.63,24.68,16,657050.253517151,"Acre",16,657050.253517151,5,2005,"Acre",107.63,24.68,1
53,"2005-06",50.406,24.56,15,657050.253517151,"Acre",15,657050.253517151,6,2005,"Acre",50.406,24.56,1
54,"2005-07",20.202,24.4,10,657050.253517151,"Acre",10,657050.253517151,7,2005,"Acre",20.202,24.4,1
55,"2005-08",51.964,26.2,5,657050.253517151,"Acre",5,657050.253517151,8,2005,"Acre",51.964,26.2,1
56,"2005-09",71.689,26.17,0,657050.253517151,"Acre",0,657050.253517151,9,2005,"Acre",71.689,26.17,1
57,"2005-10",230.567,25.51,6,657050.253517151,"Acre",6,657050.253517151,10,2005,"Acre",230.567,25.51,1
58,"2005-11",201.977,25.42,26,657050.253517151,"Acre",26,657050.253517151,11,2005,"Acre",201.977,25.42,1
59,"2005-12",229.801,25.18,262,657050.253517151,"Acre",262,657050.253517151,12,2005,"Acre",229.801,25.18,1
60,"2006-01",240.574,25.03,81,664251.694023767,"Acre",81,664251.694023767,1,2006,"Acre",240.574,25.03,1
61,"2006-02",246.254,25.08,38,664251.694023767,"Acre",38,664251.694023767,2,2006,"Acre",246.254,25.08,1
62,"2006-03",233.736,25.12,28,664251.694023767,"Acre",28,664251.694023767,3,2006,"Acre",233.736,25.12,1
63,"2006-04",176.17,24.46,31,664251.694023767,"Acre",31,664251.694023767,4,2006,"Acre",176.17,24.46,1
64,"2006-05",49.08,23.55,10,664251.694023767,"Acre",10,664251.694023767,5,2006,"Acre",49.08,23.55,1
65,"2006-06",68.151,24.37,11,664251.694023767,"Acre",11,664251.694023767,6,2006,"Acre",68.151,24.37,1
66,"2006-07",35.718,25.42,5,664251.694023767,"Acre",5,664251.694023767,7,2006,"Acre",35.718,25.42,1
67,"2006-08",49.542,26.22,2,664251.694023767,"Acre",2,664251.694023767,8,2006,"Acre",49.542,26.22,1
68,"2006-09",118.979,26.02,5,664251.694023767,"Acre",5,664251.694023767,9,2006,"Acre",118.979,26.02,1
69,"2006-10",223.299,25.76,14,664251.694023767,"Acre",14,664251.694023767,10,2006,"Acre",223.299,25.76,1
70,"2006-11",215.812,25.29,224,664251.694023767,"Acre",224,664251.694023767,11,2006,"Acre",215.812,25.29,1
71,"2006-12",234.219,25.23,196,664251.694023767,"Acre",196,664251.694023767,12,2006,"Acre",234.219,25.23,1
